num,word
7893,"seven thousand, eight hundred and ninety-three"
6011,six thousand and eleven
2674,"two thousand, six hundred and seventy-four"
5187,"five thousand, one hundred and eighty-seven"
9750,"nine thousand, seven hundred and fifty"
4829,"four thousand, eight hundred and twenty-nine"
5610,"five thousand, six hundred and ten"
1820,"one thousand, eight hundred and twenty"
4822,"four thousand, eight hundred and twenty-two"
6592,"six thousand, five hundred and ninety-two"
1965,"one thousand, nine hundred and sixty-five"
4275,"four thousand, two hundred and seventy-five"
3780,"three thousand, seven hundred and eighty"
3009,three thousand and nine
6849,"six thousand, eight hundred and forty-nine"
1589,"one thousand, five hundred and eighty-nine"
5567,"five thousand, five hundred and sixty-seven"
6535,"six thousand, five hundred and thirty-five"
8415,"eight thousand, four hundred and fifteen"
1874,"one thousand, eight hundred and seventy-four"
4385,"four thousand, three hundred and eighty-five"
7938,"seven thousand, nine hundred and thirty-eight"
4768,"four thousand, seven hundred and sixty-eight"
5925,"five thousand, nine hundred and twenty-five"
5332,"five thousand, three hundred and thirty-two"
4575,"four thousand, five hundred and seventy-five"
3119,"three thousand, one hundred and nineteen"
9099,nine thousand and ninety-nine
9898,"nine thousand, eight hundred and ninety-eight"
2861,"two thousand, eight hundred and sixty-one"
2181,"two thousand, one hundred and eighty-one"
6751,"six thousand, seven hundred and fifty-one"
3739,"three thousand, seven hundred and thirty-nine"
4000,four thousand
5635,"five thousand, six hundred and thirty-five"
8138,"eight thousand, one hundred and thirty-eight"
9310,"nine thousand, three hundred and ten"
9591,"nine thousand, five hundred and ninety-one"
1406,"one thousand, four hundred and six"
1501,"one thousand, five hundred and one"
3004,three thousand and four
9995,"nine thousand, nine hundred and ninety-five"
8363,"eight thousand, three hundred and sixty-three"
9309,"nine thousand, three hundred and nine"
8874,"eight thousand, eight hundred and seventy-four"
5429,"five thousand, four hundred and twenty-nine"
4827,"four thousand, eight hundred and twenty-seven"
7534,"seven thousand, five hundred and thirty-four"
1259,"one thousand, two hundred and fifty-nine"
2185,"two thousand, one hundred and eighty-five"
4145,"four thousand, one hundred and forty-five"
2024,two thousand and twenty-four
2729,"two thousand, seven hundred and twenty-nine"
1417,"one thousand, four hundred and seventeen"
1812,"one thousand, eight hundred and twelve"
5948,"five thousand, nine hundred and forty-eight"
1278,"one thousand, two hundred and seventy-eight"
3620,"three thousand, six hundred and twenty"
3744,"three thousand, seven hundred and forty-four"
4281,"four thousand, two hundred and eighty-one"
2011,two thousand and eleven
6847,"six thousand, eight hundred and forty-seven"
3193,"three thousand, one hundred and ninety-three"
6878,"six thousand, eight hundred and seventy-eight"
2968,"two thousand, nine hundred and sixty-eight"
7960,"seven thousand, nine hundred and sixty"
4234,"four thousand, two hundred and thirty-four"
8315,"eight thousand, three hundred and fifteen"
2222,"two thousand, two hundred and twenty-two"
4386,"four thousand, three hundred and eighty-six"
9855,"nine thousand, eight hundred and fifty-five"
4017,four thousand and seventeen
4903,"four thousand, nine hundred and three"
6860,"six thousand, eight hundred and sixty"
8206,"eight thousand, two hundred and six"
8549,"eight thousand, five hundred and forty-nine"
4953,"four thousand, nine hundred and fifty-three"
3062,three thousand and sixty-two
3906,"three thousand, nine hundred and six"
3141,"three thousand, one hundred and forty-one"
2546,"two thousand, five hundred and forty-six"
3108,"three thousand, one hundred and eight"
8380,"eight thousand, three hundred and eighty"
4307,"four thousand, three hundred and seven"
9968,"nine thousand, nine hundred and sixty-eight"
2902,"two thousand, nine hundred and two"
3225,"three thousand, two hundred and twenty-five"
5974,"five thousand, nine hundred and seventy-four"
3913,"three thousand, nine hundred and thirteen"
3844,"three thousand, eight hundred and forty-four"
2888,"two thousand, eight hundred and eighty-eight"
4415,"four thousand, four hundred and fifteen"
3817,"three thousand, eight hundred and seventeen"
4665,"four thousand, six hundred and sixty-five"
4711,"four thousand, seven hundred and eleven"
1937,"one thousand, nine hundred and thirty-seven"
8546,"eight thousand, five hundred and forty-six"
6705,"six thousand, seven hundred and five"
1355,"one thousand, three hundred and fifty-five"
9698,"nine thousand, six hundred and ninety-eight"
3989,"three thousand, nine hundred and eighty-nine"
1062,one thousand and sixty-two
4525,"four thousand, five hundred and twenty-five"
7387,"seven thousand, three hundred and eighty-seven"
1304,"one thousand, three hundred and four"
9425,"nine thousand, four hundred and twenty-five"
9256,"nine thousand, two hundred and fifty-six"
4798,"four thousand, seven hundred and ninety-eight"
8253,"eight thousand, two hundred and fifty-three"
1679,"one thousand, six hundred and seventy-nine"
8618,"eight thousand, six hundred and eighteen"
6397,"six thousand, three hundred and ninety-seven"
1268,"one thousand, two hundred and sixty-eight"
5492,"five thousand, four hundred and ninety-two"
4118,"four thousand, one hundred and eighteen"
2165,"two thousand, one hundred and sixty-five"
8364,"eight thousand, three hundred and sixty-four"
4004,four thousand and four
8136,"eight thousand, one hundred and thirty-six"
6873,"six thousand, eight hundred and seventy-three"
4803,"four thousand, eight hundred and three"
7030,seven thousand and thirty
2908,"two thousand, nine hundred and eight"
9328,"nine thousand, three hundred and twenty-eight"
4043,four thousand and forty-three
8022,eight thousand and twenty-two
3381,"three thousand, three hundred and eighty-one"
6549,"six thousand, five hundred and forty-nine"
9886,"nine thousand, eight hundred and eighty-six"
7299,"seven thousand, two hundred and ninety-nine"
2373,"two thousand, three hundred and seventy-three"
5369,"five thousand, three hundred and sixty-nine"
2431,"two thousand, four hundred and thirty-one"
5044,five thousand and forty-four
3244,"three thousand, two hundred and forty-four"
7806,"seven thousand, eight hundred and six"
6863,"six thousand, eight hundred and sixty-three"
4200,"four thousand, two hundred"
7796,"seven thousand, seven hundred and ninety-six"
3243,"three thousand, two hundred and forty-three"
4054,four thousand and fifty-four
8171,"eight thousand, one hundred and seventy-one"
4642,"four thousand, six hundred and forty-two"
6721,"six thousand, seven hundred and twenty-one"
4253,"four thousand, two hundred and fifty-three"
9961,"nine thousand, nine hundred and sixty-one"
5381,"five thousand, three hundred and eighty-one"
4578,"four thousand, five hundred and seventy-eight"
1692,"one thousand, six hundred and ninety-two"
3396,"three thousand, three hundred and ninety-six"
6598,"six thousand, five hundred and ninety-eight"
5091,five thousand and ninety-one
9634,"nine thousand, six hundred and thirty-four"
4579,"four thousand, five hundred and seventy-nine"
3740,"three thousand, seven hundred and forty"
4262,"four thousand, two hundred and sixty-two"
8605,"eight thousand, six hundred and five"
2544,"two thousand, five hundred and forty-four"
6037,six thousand and thirty-seven
6949,"six thousand, nine hundred and forty-nine"
9804,"nine thousand, eight hundred and four"
8538,"eight thousand, five hundred and thirty-eight"
6629,"six thousand, six hundred and twenty-nine"
3766,"three thousand, seven hundred and sixty-six"
4683,"four thousand, six hundred and eighty-three"
